Name,Internal ID
FG000153 PAP BC PLUS 1KgX12 (PCON)-HYB,21497
FG000154 PAP BC PLUS 2KgX8 (PCON)-HYB,21498
FG000155 PAP BC PLUS 4KgX4 (PCON)-HYB,22986
FG000156 JUF BC 320gX24 (BOT) -CT,21500
FG000157 FS - JUFRAN BC 4 X 4KG,36810
FG000161 MAFRAN BANANA CATSUP 250X36 (LAMBAG),30105
FG000164 FS - UFC BC REGULAR 10G 10 GMS,36815
FG000164 UFC BC REGULAR 10G SACHET,30230
FG000169 UFC TS 115gX36 (SUP) - IMP,21521
FG000170 UFC TS 200gX24 (SUP) - IMP,21522
FG000171 UFC TS 1KgX12 (SUP) - IMP,21523
FG000172 UFC TS GUISADO 115gX36 (SUP),21524
FG000173 UFC TS GUISADO 200gX24 (SUP),21525
FG000174 UFC TS GUISADO 1KgX12 (SUP),21526
FG000175 UFC SS 250gX24 (SUP),21527
FG000176 UFC SS 500gX36 (SUP),21528
FG000177 UFC SS 750gX24 POUCH,21529
FG000178 UFC SS 1KgX12 (SUP),21530
FG000179 UFC TS MENUDO 200gX24 (SUP),21515
FG000180 UFC TS CALDERETA 200gX24 (SUP),21518
FG000181 UFC TS MECHADO 200gX24 (SUP),21516
FG000182 UFC RR AFRITADA 200gX24 (SUP),21517
FG000183 UFC RR CALDERETA 400gX36 (SUP),21519
FG000184 UFC RR AFRITADA 400gX36 (SUP),21520
FG000185 FS - UFC TOM KETCHUP 4 X 3KG LAMBAG,36812
FG000186 FS - UFC TOM KETCHUP 400 X 10GMS,36813
FG000187 FS - UFC TOMATO SAUCE 4 X 3KG LAMBAG,36814
FG000193 JUF SCS 355gX24,21514
FG000195 JUF SCS 1.1KGX12,37721
FG000196 UFC HS 100gX24 (PCON),21511
FG000197 JUF RHCS 100gX24 (PCON),21513
FG000198 FS - UFC HOT SAUCE 4 X 4KG,36811
FG000199 UFC HOT SAUCE 7G SACHET,30231
FG000261 DP VIN 1LX12 W/ DPSS 110 ML,31046
FG000298 DP PREM FS EXP QLTY 375mL X24,21684
FG000303 UFC GFCO PALM 950MLX12 PET,31520
FG000304 UFC GFCO PALM 485MLX24 PET,31521
FG000329 MAF BC BLEND 320gX24,21503
FG000330 MAF BC 3.9KgX4 -HYB,22987
FG000336 UFC SCS 340gX24 (BOT),21510
FG000361 MAF BC BLND 1KgX12 (SUP),21504
FG000367 AMIHAN CANE 4LX4 (PCON),37720
FG000406 FS - UFC HOT SAUCE 7G 7 GMS,36816
FG000406 UFC HOT SAUCE 7GX400,33565
FG000406(DO NOT USE) PAPA BC 1KGX12 PCON W/FREE BOOK 1KG,30356
FG000426 GFCO 1L X 12 W/DPV 110ML,31047
FG000429 DATU PUTI TRIO PACK,30232
FG000431 DATU PUTI PINOY SPICE (BOT) 24'S 375ML,30357
FG000431 DP PINOY SPICE 375MLX24 (BOT),21581
FG000433 UFC SPAGHETTI SAUCE 4 X 3 KG SUP,37722
FG00044 (DO NOT USE) MAFRAN BANANA CATSUP 100G,30221
FG000446 MAFRAN BC BLEND 100GX48SUP,30474
FG000450 MAFRAN BC BLEND 3.2KGX4 (PCON),22988
FG000451 GFCO 950ML PET + 1PC GFCO 100MLX12,30476
FG000453 GFCO 1L W/FREE 100ML BUNDLING,30107
FG000454 DP SUKANG TUBA 375MLX24 BOT,31168
FG000456 DP SUKANG SINAMAK 375MLX24 BOT,31150
FG000457 DP SUKANG ILOKO 375MLX24 BOT,31151
FG000458 DP WHT VIN 350MLX30 SUP 350ML,30363
FG000459 DP WHT VIN 100mLX72 SUP,31049
FG000460 DP SOY SCE 100mLX72 SUP,21696
FG000461 DP SOY SCE 340MLX30 SUP,31411
FG000462 DP SOY SCE 340mLX24 BOT,21698
FG000464 DP VINSOY DUO 60MLX72 SACHET,22785
FG000465 GFCO 2L SUP + FREE GF COM(2)100MLX6,30106
FG000465(DO NOT USE) GFCO 2L SUP + FREE GF COM (2) 100MLX6,30475
FG000466 SPAGHETTI BIRTHDAY PACK,21740
FG000469 UFC SS 250GX48 (SUP)-RCH,34115
FG000470 UFC SS 500X36 (SUP)-RCH 500GMS,34434
FG000471 DP OYSTER SCE 70GX48 SACH,30472
FG000472 DP COMBO PACK VIN+SOY 385MLX12 (HDPE),22786
FG000476 PAPA BC 1KGX12 PCON W/ FREEBOOK 1KG,30473
"FG000487										 GF CANOLA OIL DUO PACK 1X6",36287
FG000487 GF CANOLA OIL DUO PACK 1Lx6 (BOT),34594
FG000490 FS - MT LECHN SCE REG 100GX48 SUP 100 GMS,36817
FG000490 MT LEC REG 100X48 SUP,30696
FG000492 DP COMBO PACK VIN+SOY 1LX6 (PET),34239
FG000496 MT LEC SAUCE REG 325G X 24 BOT,31412
FG000497 MT LEC SAUCE REG 40GX72 SACH,33687
FG000499 HFVO 1LX12 SUP,31165
FG000504 DP SOY SAUCE 3.785LX4 (PCON),34628
FG000505 DP SOY SAUCE 1.893L X 8 (HDPE),35140
FG000506 DP WHITE VIN 3.785LX4 (HDPE),33688
FG000507 DP WHITE VIN 1.893L X 8 (HDPE),34969
FG000509 UFC SINIGANG MIX 20GX96 SINGLE ND,40510
FG000510 UFC SINIGANG SA SAMPALOK MIX 20GX96,31167
FG000512 HFVO 2LX6 SUP,31166
FG000513 HFVO 1LX12 PET BOTTLE,31152
FG000522 DP OYSTER SAUCE 30G X 144,34592
FG000523 MT LEC SCE HOT 325GX24 BOT,34127
FG000524 UBC 550G + DP PARES 60 + 60ML X 18,32493
FG000525 PBC 550G+DP PARES 60+60MLX18,34681
FG000526 UFC SS 1KG + 900G PASTA X 12,32492
FG000527 PBC 100G + DPSS 200ML X48,34629
FG000528 UBC 100G + DPSS 200ML X 48,32494
FG000533 DP OYSTER SCE 170GX24,35342
FG000534 PAPA BC 25X240 SINGLES (SACH),38500
FG000535 UFC BC 25X240 SINGLES (SACH),38499
FG000545 COCONUT WATER 330 ML X 24 TETRAPACK,35757
FG000546 COCONUT WATER 1LX12 TETRAPACK,35758
FG000550 1 UBC 320G+1MTLS 100GX24 320GMS,34244
FG000551 1 UBC 320G+1 UFC SINIGANG MIX 20GMS,34245
FG000555 UFC  (BPACK) SS 500G + PASTA  400G X 24,35308
FG000556 UFC BC 320G X 24 BOT W/ POTASSIUM,34968
FG000557 UFC BC 550GX18 BOT W/ POTASSIUM,35362
FG000558 (inactive) UFC BC 1KGX12 PCON W/ POTASSIUM,35305
FG000558 UFC BC 1KGX12 PCON W/ POTASSIUM,35520
FG000559 UFC BC 4KgX4 (PCON)-HYB,36140
FG000560 UFC BC 100GX48 SUP w/ POTASSIUM,35860
FG000561 UFC BC 200GX48 SUP w/ POTASSIUM,35861
FG000562 UFC BC 320gX36 (SPOUCH) w/ POTASSIUM,36228
FG000563 UFC BC 25gX12X20 (SACH) w/ POTASSIUM,36227
FG000564 UFC BC 2KGX8 PCON,35862
FG000567 DP OYSTER SAUCE 430gX18 BOT,35343
FG000569 UFC ELBOW MACARONI 125GX48,40181
FG000570 UFC SS 250G + PASTA125G X 36,35655
FG000574 UFC SINIGANG SA SAMPALOK MIX 10GX144,38906
FG000578 DP SOY SCE NML 20MLX240 (SACH),36161
FG000579 DP SOY SCE NML 60mLX144 SACH,36222
FG000580 DP SOY SCE NML 100MLX72 (SUP),36040
FG000581 DP SOY SCE NML 200mLX60 (SUP),36261
FG000582 DP SOY SCE NML 340MLX24 (BOT),36201
FG000583 DP SOY SCE NML 340MLX30 SUP,36643
FG000585 DP SOY SCE NML 385mlX24 (HDPE),36171
FG000586 DP SOY SCE NML 1LX12 SUP,36442
FG000587 DP SOY SCE NML 1LX12 PET,36170
FG000588 DP SOY SAUCE NML 1.893L X 8 (HDPE),36365
FG000590 DP SOY SCE NML 3.785X4 (PET),38813
FG000591 DP SOY SCE NML 3.785X4 (HDPE),36194
FG000592 JUFRAN SCS 40GX72 (SACH),40734
FG000600 UFC BC 550G + UFC GFCO 1L SUP X 10,37011
FG000604 UFC BC 1KG PCON + UFC SS RCH 250G SUP X 8,37010
FG000605 LIQ GENIE SEASONING 600MLX18 SUP,41494
FG000616 JUFRAN SCS 330GX24 BOT,38593
FG000620 UFC BC 25GX12X20 SACH NEW,38486
FG000621 UFC BC 100GX48 SUP NEW,39616
FG000622 UFC BC 200GX48 SUP NEW,41071
FG000623 UFC BC 320GX24 (BOT),39227
FG000624 UFC BC 550GX18 BOT NEW,41056
FG000625 UFC BC 1KGX12 PCON NEW,38498
FG000628 MTLS SIGA 325GX24 BOT,39284
FG000629 UFC SS RTC 250X48 SUP,38594
FG000648 UFC RR CALDERETA MIX 55GX72SACH,42089
FG000649 UFC RR CURRY MIX 40gx72SACH,42059
FG000650 UFC RR GATA MIX 45GX72 SACH,42090
FG000651 UFC RR KARE-KARE MIX 45GX72 SACH,42091
FG000654 HFVO 500MLX24 SUP,39516
FG000659 DP VIN SUKANG ILOKO 250MLX30BOT,40986
FG000660 DP VIN SUKANG SINAMAK 250MLX30BOT,40985
FG000665 UFC GF BIGCRUNCH BREADINGMIX 60GX72 SACH,40465
FG000674 UFC BLACK PEPPER GROUND 500GX12 BAG,41493
FG000675 UFC IODIZED SALT 1KGX12 BAG,41492
FG000676 UFC BEEF BROTH 1KGX6 SUP NEW,41422
FG000677 UFC CHICKEN BROTH 1KGX6 SUP NEW,41421
FG000679 UFC BC CC GOOFY GREEN 150GX48 PCON,40907
FG000680 UFC BC CC RADIANT RED 150GX48 PCON,40908
FG000681 UFC BC CC YUMMY YELLOW 150GX48 PCON,40909
FG000682 UFC BC CC BUBBLY BLUE 150GX48 PCON,40910
FG000688 UFC BC CC 150GX4X12 PCON,40966
FG000691 UFC BC 320GX36 SPOUCH NEW,41070
FG000699 GFCO 1L WITH FREE BIG CRUNCH 60G X 12,42113
FG000708 UFC PAMASKO PACK,42258
FG080504  DP SOY SAUCE 3.785LX4 (HDPE),34608
FG688 UFC BC CC 150GX4X12 PCON (inactive),40965
FOOD SERVICE GROUP,20810
Jufran Banana Catsup - Regular,20785
Jufran Thai Fish Sauce,20794
Mafran Banana Catsup - Regular,20786
Mang Tomas Lechon Sauce - Regular,20791
NAI PROMO - UFC GF BIG CRUNCH (11+1),40723
NAI PROMO - UFC GF BIG CRUNCH (3+1),40722
Nelicom Pale Patis,20807
Nelicom Pure Patis,20808
Nelicom Special Patis,20809
NT01399 Sales Return - Food,30324
NUT0008 UFC BC Regular 4 kg_Inactive,21490
NUT0017 PAPA BC Regular 4 kg_Inactive,21499
NUT0019 MAFRAN Banana Catsup 100G,21501
NUT0020 MAFRAN BC Regular 250g,21502
NUT0023 MAFRAN BC Regular 0.5 Gal,21505
NUT0024 MAFRAN BC Regular 1 Gal_Inactive,21506
NUT0025 MAFRAN Banana Catsup 3.2kg_Inactive,21507
NUT0027 UFC Sweet Chili Sauce 90g,21509
NUT0030 Sm Bonus BC 320g,21512
NUT0049 Datu Puti Banana Catsup 100g,21531
NUT0059 Jufran Thai Fish Sauce 200ml,21541
NUT0060 Jufran Thai Fish Sauce 750ml,21542
NUT0096 Datu Puti White Vinegar (PET) 4 liters_Inactive,21578
NUT0105 Datu Puti Red Cane Vinegar 180 ml,21687
NUT0106 Datu Puti Red Cane Vinegar 350ml,21688
NUT0108 Datu Puti Red Cane Vinegar 4 liters_Inactive,21690
NUT0109 Amihan White Vinegar 1 liter,21691
NUT0110 Amihan White Vinegar 2 liters,21692
NUT0111 Amihan White Vinegar 4 liters,22991
NUT0111 Amihan White Vinegar 4 liters_Inactive,21693
NUT0122 DATU PUTI Soy Sauce -PET/PCON 1 G/4L_Inactive,21704
NUT0125 Datu Puti Patis (budget pack) 150 ml 48,21707
NUT0130 Amihan Cane Vinegar 350ml,21712
NUT0131 Amihan Cane Vinegar 1 liter,21713
NUT0132 Amihan Cane Vinegar 4 liters,22993
NUT0132 Amihan Cane Vinegar 4 liters_Inactive,21714
NUT0133 Datu Puti Patis - pet 350ml,21715
NUT0134 Datu Puti Patis (new) 15ml,21716
NUT0135 Datu Puti Patis (new) 60ml,21717
NUT0136 Datu Puti Pinoy Kurat Spiced Tuba Vinegar 375ml,21718
NUT0137 DATU PUTI Soy Sauce 385ml,21719
NUT0138 Nelicom Pale Patis - NEW 1 liter,21720
NUT0139 Nelicom Pale Patis - NEW 4 liters,22994
NUT0139 Nelicom Pale Patis - NEW 4 liters_Inactive,21721
NUT0140 Nelicom Pale Patis 350ml,21722
NUT0141 Nelicom Pure Patis 750ml,21723
NUT0142 Nelicom Special Patis 350ml,21724
NUT0143 Nelicom Special Patis- new 1 liter,21725
NUT0144 Datu Puti White Vinegar 20ml sachet,21726
NUT0145 Datu Puti White Vinegar BIB 19L,21727
NUT0146 Amihan Cane Vinegar BIB 19 Liters,21728
NUT0147 DATU PUTI Soy Sauce BIB 18.925L,21729
NUT0148 Mang Tomas LS - Reg. 1 kg - foil SUP,21730
NUT0149 UFC BC Regular 10g sachet,21731
NUT0150 UFC  Tomato Ketchup 10g sachet,21732
NUT0151 UFC  Tomato Ketchup 3 kg laminated bag,22995
NUT0151 UFC  Tomato Ketchup 3 kg laminated bag_Inactive,21733
NUT0152 UFC Hot Sauce 7g sachet,21734
NUT0153 JUFRAN Sweet Chili Sauce 1.1 kg plastic,21735
NUT0154 UFC  Tomato Sauce 3 kg laminated bag,22996
NUT0154 UFC  Tomato Sauce 3 kg laminated bag_Inactive,21736
NUT0155 Datu Puti vinegar 11+1 sss 200ml x 5 200ml,21737
NUT0156 Datu puti trio pack,21738
NUT0157 UFC  VINEGAR SACHET 90ML X72,21739
Papa Plus Banana Catsup - Regular,20784
PRM000010 NAI - SKN SARI-SARI STORE PACK,40534
PRM000011 NAI - SKN NEGOSYO PACK,40536
PRM000012 NAI - SKN NEGOSYO BOOSTER PACK,40537
Sales Discount - Food (CM),30322
Sales Return - NAI BO,31147
Sales Return - NAI Good Stock,30702
Seasoning,20792
Special Sauces,20787
SPECIALTY SAUCES,20793
UFC Banana Catsup - Regular,20783
UFC Cook and Dip Catsup Blend,20797
UFC Golden Fiesta,20796
UFC Golden Fiesta Cooking Oil 100ml,22789
UFC Golden Fiesta Cooking Oil 50ml,22788
Ufc liquid genie one for all 20g,22787
UFC SPAGHETTI SAUCE,20789
UFC Tomato Sauce,20788
